Nr.1;Nr.2;Konfiguration;Versuch;Bauteil;T_O;delta_t_h;F_p;t_a;d_T_O;d_T_oef;HV_MP1_exp;HV_MP2_exp;HV_MP3_exp;HV_MP4_exp;HV_MP5_exp;HV_MP6_exp;HV_MP1_exp_Metallografie;HV_MP2_exp_Metallografie;HV_MP3_exp_Metallografie;HV_MP4_exp_Metallografie;HV_MP5_exp_Metallografie;HV_MP6_exp_Metallografie;HV_MP1_sim;HV_MP2_sim;HV_MP3_sim;HV_MP4_sim;HV_MP5_sim;HV_MP6_sim;HV_MP1_delta_exp_sim;HV_MP2_delta_exp_sim;HV_MP3_delta_exp_sim;HV_MP4_delta_exp_sim;HV_MP5_delta_exp_sim;HV_MP6_delta_exp_sim
1;1;1;1;3;930;0;1750;4;-41,7;-308,5;438;368;493;322;494;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4;2;1;2;930;0;2000;2;-38,4;-289,8;425;369;493;312;492;473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;7;3;1;1;930;0;2250;6;-38,1;-308,7;484;374;492;376;506;493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;10;4;1;4;930;2;2000;6;-41,4;-286,5;413;349;501;472;492;475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;13;5;1;5;930;4;1750;2;-39,7;-297,9;366;347;468;323;411;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;16;6;1;7;930;4;1750;6;-46,8;-261,5;359;343;490;371;469;394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;19;7;1;6;930;4;2250;2;-44,1;-289;351;350;437;307;427;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;22;8;1;8;930;4;2250;6;-50;-276,7;322;339;448;373;407;357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;25;9;1;26;950;0;1750;6;-51,9;-277,4;472;379;491;311;489;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;28;10;1;25;950;0;2250;4;-48,8;-280,1;470;381;489;305;486;485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;31;11;1;27;950;2;1750;2;-53;-279,3;384;361;474;280;494;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;34;12;1;28;950;4;2000;4;-55,3;-288;434;354;479;328;431;477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;37;13;1;37;970;0;1750;2;-43,4;-288,2;447;454;498;304;488;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;40;14;1;38;970;0;2000;6;-42,5;-277,6;489;424;497;375;498;497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;43;15;1;39;970;0;2250;2;-42,7;-287,1;478;444;491;301;495;493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;46;16;1;40;970;2;1750;4;-36,9;-291,6;490;453;498;302;499;492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;49;17;1;44;970;4;1750;2;-48,6;-301,6;439;423;487;313;428;479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;52;18;1;43;970;4;1750;6;-45,3;-294,6;476;423;491;424;499;486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;55;19;1;41;970;4;2250;2;-41;-300,8;475;433;490;317;482;485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;58;20;1;42;970;4;2250;6;-42,2;-302,5;483;435;494;407;495;494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;2;1;2;11;930;0;1750;4;-43,3;-278;465;388;488;369;491;472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;5;2;2;10;930;0;2000;2;-42,8;-290,3;425;348;496;290;473;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;8;3;2;9;930;0;2250;6;-39,2;-270,7;476;384;499;479;496;486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;11;4;2;12;930;2;2000;6;-49;-304,2;390;350;495;379;405;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;14;5;2;13;930;4;1750;2;-45,9;-281;358;337;441;312;410;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;17;6;2;15;930;4;1750;6;-44;-278,2;377;355;456;411;396;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;20;7;2;14;930;4;2250;2;-40,8;-267,7;375;351;481;326;399;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;23;8;2;16;930;4;2250;6;-47,6;-276,8;357;339;490;422;419;378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;26;9;2;30;950;0;1750;6;-38,1;-304,1;477;381;496;352;491;490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;29;10;2;29;950;0;2250;4;-43,5;-297,1;470;389;493;411;481;485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;32;11;2;31;950;2;1750;2;-38,6;-288,5;473;412;492;317;417;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;35;12;2;32;950;4;2000;4;-40,9;-301,3;435;372;483;329;416;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;38;13;2;45;970;0;1750;2;-39,3;-294,3;407;446;437;298;490;483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;41;14;2;46;970;0;2000;6;-41,2;-287,5;486;449;489;341;490;472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;44;15;2;47;970;0;2250;2;-46,5;-295,9;437;426;492;307;486;479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;47;16;2;48;970;2;1750;4;-49,8;-286,9;475;422;489;338;487;477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;50;17;2;52;970;4;1750;2;-57,7;-305,8;427;402;438;332;495;475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;53;18;2;51;970;4;1750;6;-55,7;-290,1;459;401;490;416;494;473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;56;19;2;49;970;4;2250;2;-50,8;-265,4;450;425;477;327;482;479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;59;20;2;50;970;4;2250;6;-53,3;-284,7;478;412;491;414;498;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;3;1;3;19;930;0;1750;4;-49,4;-273,8;452;357;496;335;493;477;0;0;0;0;0;0;346,0339966;376,0723267;368,9555359;371,2305908;331,953186;362,4815369;-105,9660034;19,07232666;-127,0444641;36,23059082;-161,046814;-114,5184631
42;6;2;3;18;930;0;2000;2;-46,1;-290,6;425;352;496;299;494;485;0;0;0;0;0;0;417,8063354;422,5604858;422,6900635;425,3168335;404,9878845;432,6773987;-7,193664551;70,56048584;-73,30993652;126,3168335;-89,01211548;-52,32260132
43;9;3;3;17;930;0;2250;6;-42,8;-287,9;477;364;495;426;498;492;0;0;0;0;0;0;451,8963013;461,2207031;455,8943481;465,9879761;461,8891296;465,8938293;-25,10369873;97,22070313;-39,10565186;39,98797607;-36,11087036;-26,10617065
44;12;4;3;20;930;2;2000;6;-51,2;-293,5;402;340;492;449;404;463;0;0;0;0;0;0;295,0470886;322,6145935;312,177002;312,2825317;290,3575745;311,3894043;-106,9529114;-17,38540649;-179,822998;-136,7174683;-113,6424255;-151,6105957
45;15;5;3;21;930;4;1750;2;-50,2;-291,5;342;329;426;280;388;389;0;0;0;0;0;0;291,6617126;307,5463867;298,7390747;300,4761963;278,1461792;294,7424316;-50,33828735;-21,45361328;-127,2609253;20,47619629;-109,8538208;-94,25756836
46;18;6;3;23;930;4;1750;6;-56,5;-276,7;321;336;457;333;404;364;0;0;0;0;0;0;275,1061707;286,5775146;279,3288574;280,3252563;269,6795654;281,6730042;-45,89382935;-49,42248535;-177,6711426;-52,67474365;-134,3204346;-82,32699585
47;21;7;3;22;930;4;2250;2;-54,1;-273,2;339;336;475;281;413;393;0;0;0;0;0;0;284,0649719;293,996582;285,6331787;286,504364;274,5949402;283,6421204;-54,93502808;-42,00341797;-189,3668213;5,504364014;-138,4050598;-109,3578796
48;24;8;3;24;930;4;2250;6;-59;-282,3;326;330;469;357;394;353;0;0;0;0;0;0;265,2697144;278,129303;269,8439331;275,2442322;261,5270386;277,5895691;-60,73028564;-51,87069702;-199,1560669;-81,75576782;-132,4729614;-75,41043091
49;27;9;3;34;950;0;1750;6;-37,8;-276,6;487;394;492;393;504;483;0;0;0;0;0;0;482,3204956;486,7701111;480,3608704;472,8457642;480,3341064;477,6352539;-4,679504395;92,77011108;-11,63912964;79,84576416;-23,66589355;-5,364746094
50;30;10;3;33;950;0;2250;4;-37,5;-276,4;476;393;497;351;490;486;0;0;0;0;0;0;477,4939575;487,8215942;480,5280151;473,3456421;484,7220764;478,0664368;1,49395752;94,82159424;-16,47198486;122,3456421;-5,277923584;-7,933563232
51;33;11;3;35;950;2;1750;2;-41,3;-280,6;426;386;490;308;489;474;454,7080333;459,2285667;475,2309667;426,6073667;496,1152;482,0619;471,8277588;480,3540649;470,433075;469,9865112;464,019989;474,4642029;45,82775879;94,35406494;-19,56692505;161,9865112;-24,98001099;0,464202881
52;36;12;3;36;950;4;2000;4;-38,4;-282,3;438;376;486;370;465;480;0;0;0;0;0;0;453,6790771;462,6008606;456,4866028;468,4373779;460,5566711;469,1594238;15,67907715;86,6008606;-29,51339722;98,43737793;-4,443328857;-10,84057617
53;39;13;3;53;970;0;1750;2;-46,8;-274,8;452;439;494;312;492;485;0;0;0;0;0;0;481,6763;489,6820679;482,7169189;468,1389771;479,7485657;485,14328;29,67630005;50,68206787;-11,28308105;156,1389771;-12,25143433;0,143280029
54;42;14;3;54;970;0;2000;6;-50,2;-288,6;484;415;493;355;498;480;0;0;0;0;0;0;482,2189026;487,8248596;482,7295532;470,7986755;478,0389099;483,9002075;-1,781097412;72,82485962;-10,27044678;115,7986755;-19,96109009;3,90020752
55;45;15;3;55;970;0;2250;2;-53,3;-304,8;476;424;496;306;489;487;0;0;0;0;0;0;481,7705078;488,2470398;481,2901306;473,4516907;480,4488525;478,7466736;5,770507813;64,24703979;-14,70986938;167,4516907;-8,551147461;-8,253326416
56;48;16;3;56;970;2;1750;4;-55,6;-277,9;475;400;482;310;497;479;0;0;0;0;0;0;457,0487976;484,170166;473,6617126;471,9132996;472,631958;469,0899963;-17,95120239;84,17016602;-8,338287354;161,9132996;-24,36804199;-9,910003662
57;51;17;3;60;970;4;1750;2;-61;-284,1;421;404;451;315;494;475;0;0;0;0;0;0;445,6403198;456,1889648;451,618988;465,5563049;459,4779358;464,901062;24,64031982;52,18896484;0,618988037;150,5563049;-34,52206421;-10,09893799
58;54;18;3;59;970;4;1750;6;-59,4;-286,6;425;392;491;456;487;470;0;0;0;0;0;0;451,282196;459,7909241;454,4733887;467,3331909;461,7953491;467,6348267;26,28219604;67,79092407;-36,52661133;11,33319092;-25,20465088;-2,36517334
59;57;19;3;57;970;4;2250;2;-55,7;-273,3;472;415;489;358;492;486;0;0;0;0;0;0;458,2939758;466,9957275;459,650177;471,1103821;466,9509583;471,6949463;-13,70602417;51,99572754;-29,349823;113,1103821;-25,04904175;-14,30505371
60;60;20;3;58;970;4;2250;6;-57,8;-284,3;441;374;486;424;487;473;0;0;0;0;0;0;455,295166;462,4454956;456,2519226;468,8390503;460,3097229;469,7588196;14,29516602;88,44549561;-29,74807739;44,83905029;-26,6902771;-3,24118042
